;Amaioua guianensis;Cecropia concolor;Cecropia distachya;Cecropia ficifolia;Cecropia purpurascens;Cordia nodosa;Duroia saccifera;Hirtella myrmecophila;Hirtella physophora;Maieta guianensis;Maieta poeppiggi;Pourouma heterophylla;Tachigali myrmecophila;Tachigali polyphylla;Tococa bullifera
Allomerus auripunctata;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0
Allomerus octoarticulatus;0;0;0;0;0;0;27;3;70;0;0;0;0;0;0
Allomerus prancei;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0
Allomerus sp1 M_PA_001;0;0;0;0;0;0;0;0;0;0;0;23;0;0;0
Azteca alfari;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Azteca isthmica;0;1;1;3;2;0;0;0;0;0;0;0;0;0;0
Azteca polymorpha;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
Azteca schummani;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0
Azteca sp1 M_PA_001;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0
Azteca sp2 M_PA_001;0;0;0;0;0;24;0;0;0;2;0;0;0;0;11
Azteca sp3 M_PA_001;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Azteca sp4 M_PA_001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Azteca sp5 M_PA_001;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Azteca sp6 M_PA_001;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Camponotus balzanii;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0
Crematogaster sp1 M_PA_001;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0
Crematogaster sp2 M_PA_001;0;0;0;0;0;3;0;0;0;0;0;0;0;0;2
Crematogaster sp3 M_PA_001;0;0;0;0;0;0;0;0;1;7;1;0;0;0;7
Crematogaster sp4 M_PA_001;0;0;0;0;0;0;0;0;0;0;3;0;0;0;3
Crematogaster sp5 M_PA_001;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0
Pheidole minutula;0;0;0;0;0;0;0;0;0;93;28;0;0;0;1
Pseudomyrmex concolor;0;0;0;0;0;0;0;0;0;0;0;0;18;16;0
Pseudomyrmex nigrescens;0;0;0;0;0;0;0;0;0;0;0;0;16;7;0
Solenops sp1 M_PA_001;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0
